Model,Set,Criteria fulfilled (%),Predicted time of deliver (week),Prediction of PROM by DI-VNN,True time of delivery (average week)
PC-GBM,External temporal split,11.904761904761903,25,nonevent,2
PC-GBM,External temporal split,11.904761904761903,26,event,0
PC-GBM,External temporal split,11.904761904761903,26,nonevent,1
PC-GBM,External temporal split,11.904761904761903,27,event,0
PC-GBM,External temporal split,11.904761904761903,27,nonevent,2
PC-GBM,External temporal split,11.904761904761903,28,nonevent,1
PC-GBM,External temporal split,11.904761904761903,29,event,0
PC-GBM,External temporal split,11.904761904761903,29,nonevent,3
PC-GBM,External temporal split,11.904761904761903,30,event,0
PC-GBM,External temporal split,11.904761904761903,30,nonevent,3
PC-GBM,External temporal split,11.904761904761903,31,event,0
PC-GBM,External temporal split,11.904761904761903,31,nonevent,2
PC-GBM,External temporal split,11.904761904761903,32,nonevent,4
PC-GBM,External temporal split,11.904761904761903,33,nonevent,8
PC-GBM,External temporal split,11.904761904761903,34,nonevent,11
PC-GBM,External temporal split,11.904761904761903,35,nonevent,66
PC-GBM,External temporal split,11.904761904761903,36,nonevent,0
PC-GBM,External temporal split,11.904761904761903,37,nonevent,1
PC-GBM,External temporal split,11.904761904761903,38,nonevent,1
PC-GBM,External temporal split,11.904761904761903,39,nonevent,28
PC-GBM,External temporal split,11.904761904761903,40,nonevent,31
PC-GBM,External geotemporal split,11.904761904761903,0,nonevent,2
PC-GBM,External geotemporal split,11.904761904761903,1,event,0
PC-GBM,External geotemporal split,11.904761904761903,1,nonevent,1
PC-GBM,External geotemporal split,11.904761904761903,2,nonevent,1
PC-GBM,External geotemporal split,11.904761904761903,3,nonevent,4
PC-GBM,External geotemporal split,11.904761904761903,4,event,0
PC-GBM,External geotemporal split,11.904761904761903,4,nonevent,5
PC-GBM,External geotemporal split,11.904761904761903,5,event,0
PC-GBM,External geotemporal split,11.904761904761903,5,nonevent,2
PC-GBM,External geotemporal split,11.904761904761903,6,event,0
PC-GBM,External geotemporal split,11.904761904761903,6,nonevent,2
PC-GBM,External geotemporal split,11.904761904761903,7,event,0
PC-GBM,External geotemporal split,11.904761904761903,7,nonevent,2
PC-GBM,External geotemporal split,11.904761904761903,8,event,0
PC-GBM,External geotemporal split,11.904761904761903,8,nonevent,4
PC-GBM,External geotemporal split,11.904761904761903,9,event,0
PC-GBM,External geotemporal split,11.904761904761903,9,nonevent,5
PC-GBM,External geotemporal split,11.904761904761903,10,event,4
PC-GBM,External geotemporal split,11.904761904761903,10,nonevent,13
PC-GBM,External geotemporal split,11.904761904761903,11,event,3
PC-GBM,External geotemporal split,11.904761904761903,11,nonevent,10
PC-GBM,External geotemporal split,11.904761904761903,12,event,2
PC-GBM,External geotemporal split,11.904761904761903,12,nonevent,9
PC-GBM,External geotemporal split,11.904761904761903,13,event,0
PC-GBM,External geotemporal split,11.904761904761903,13,nonevent,4
PC-GBM,External geotemporal split,11.904761904761903,14,nonevent,5
PC-GBM,External geotemporal split,11.904761904761903,15,event,1
PC-GBM,External geotemporal split,11.904761904761903,15,nonevent,20
PC-GBM,External geotemporal split,11.904761904761903,16,event,0
PC-GBM,External geotemporal split,11.904761904761903,16,nonevent,18
PC-GBM,External geotemporal split,11.904761904761903,17,event,5
PC-GBM,External geotemporal split,11.904761904761903,17,nonevent,11
PC-GBM,External geotemporal split,11.904761904761903,18,nonevent,33
PC-GBM,External geotemporal split,11.904761904761903,19,nonevent,21
PC-GBM,External geotemporal split,11.904761904761903,20,nonevent,39
PC-GBM,External geotemporal split,11.904761904761903,21,nonevent,8
PC-GBM,External geotemporal split,11.904761904761903,22,nonevent,51
PC-GBM,External geotemporal split,11.904761904761903,25,nonevent,79
PC-GBM,External geotemporal split,11.904761904761903,27,nonevent,7
PC-GBM,External geotemporal split,11.904761904761903,29,nonevent,31
PC-GBM,External geotemporal split,11.904761904761903,32,nonevent,65
DI-VNN,Internal calibration split,0,6,event,2
DI-VNN,Internal calibration split,0,6,nonevent,6
DI-VNN,External random split,2.380952380952381,6,event,3
DI-VNN,External random split,2.380952380952381,6,nonevent,6
DI-VNN,External geographical split,0,6,event,1
DI-VNN,External geographical split,0,6,nonevent,5
DI-VNN,External temporal split,0,6,event,2
DI-VNN,External temporal split,0,6,nonevent,7
DI-VNN,External geotemporal split,0,6,event,0
DI-VNN,External geotemporal split,0,6,nonevent,9
