Information,Description
Ontology array z09,x6.y6 -0.019 
Ontology array z09,x6.y7 -0.011 
Ontology array z09,x5.y1 -0.008 
Ontology array z09,x5.y2 -0.106 
Ontology array z09,x5.y3 -0.014 
Ontology array z09,x5.y4 0.02 
Ontology array z09,x5.y5 0.139 
Ontology array z09,x5.y6 0.098 
Ontology array z09,x5.y7 0.178 
Ontology array z09,x4.y1 0.048 
Ontology array z09,x4.y2 -0.103 
Ontology array z09,x4.y3 -0.113 
Ontology array z09,x4.y4 0.179 (B379)
Ontology array z09,x4.y5 0.078 
Ontology array z09,x4.y6 0.031 
Ontology array z09,x4.y7 0.056 
Ontology array z09,x3.y1 0.121 
Ontology array z09,x3.y2 -0.048 
Ontology array z09,x3.y3 -0.161 
Ontology array z09,x3.y4 -0.156 
Ontology array z09,x3.y5 0.017 (Z305)
Ontology array z09,x3.y6 -0.096 
Ontology array z09,x3.y7 0.069 
Ontology array z09,x2.y1 0.024 
Ontology array z09,x2.y2 -0.016 (J060)
Ontology array z09,x2.y3 0.02 
Ontology array z09,x2.y4 0.147 
Ontology array z09,x2.y5 -0.288 
Ontology array z09,x2.y6 -0.167 
Ontology array z09,x2.y7 0.127 
Ontology array z09,x1.y1 0.086 
Ontology array z09,x1.y2 0.107 
Ontology array z09,x1.y3 -0.114 
Ontology array z09,x1.y4 -0.069 
Ontology array z09,x1.y5 -0.046 
Ontology array z09,x1.y6 0.11 
Ontology array z09,x1.y7 0.13 
Ontology array z10,x7.y1 0.165 
Ontology array z10,x7.y2 0.074 
Ontology array z10,x7.y3 0.095 
Ontology array z10,x7.y4 0.299 
Ontology array z10,x7.y5 -0.018 
Ontology array z10,x7.y6 0.192 
Ontology array z10,x7.y7 0.09 
Ontology array z10,x6.y1 0.065 
Ontology array z10,x6.y2 -0.129 
Ontology array z10,x6.y3 0.137 
Ontology array z10,x6.y4 0.155 
Ontology array z10,x6.y5 -0.086 
Ontology array z10,x6.y6 0.066 
Ontology array z10,x6.y7 -0.069 
Ontology array z10,x5.y1 0.106 
Ontology array z10,x5.y2 0.038 
Ontology array z10,x5.y3 0.101 
Ontology array z10,x5.y4 0.065 
Ontology array z10,x5.y5 0.008 
Ontology array z10,x5.y6 0.052 
Ontology array z10,x5.y7 -0.106 
Ontology array z10,x4.y1 0.125 
Ontology array z10,x4.y2 0.236 
Ontology array z10,x4.y3 0.051 
Ontology array z10,x4.y4 -0.259 (K073)
